#Nome;CPF;Tipo sanguineo;Porcentagem branco;Porcentagem vermelho;Densidade
Pedro Almeida;345.678.901-23;AB+;42;51;1.073
Ana Pereira;456.789.012-34;O-;39;48;1.07
Luiza Souza;567.890.123-45;A-;40;50;1.072
Rafael Oliveira;678.901.234-56;B-;40;49;1.071
Camila Rodrigues;789.012.345-67;AB-;42;51;1.074
Guilherme Costa;891.012.345-78;O+;40;50;1.073
Lara Lima;902.345.678-79;A+;39;49;1.070
Enzo Carvalho;123.456.718-90;B+;41;51;1.074
Sophia Gomes;234.567.890-13;AB+;42;50;1.072
Arthur Santos;345.678.907-12;O-;39;49;1.071
Beatriz Silva;456.789.012-03;A-;40;50;1.073
Gabriel Oliveira;567.890.121-34;B-;40;49;1.071
Alice Souza;678.950.123-45;AB-;42;51;1.074
Miguel Rodrigues;718.901.234-56;O+;40;50;1.072
Lívia Costa;890.123.456-27;A+;39;49;1.071
Matheus Lima;950.123.456-78;B+;41;51;1.074
Manuela Carvalho;123.456.789-60;AB+;42;50;1.072
Gustavo Gomes;923.456.789-01;O-;39;49;1.071
Isabella Santos;345.678.901-12;A-;40;50;1.073
Henrique Silva;459.678.023-67;B-;40;49;1.07
Laura Oliveira;567.890.123-74;AB-;42;51;1.074
Julia Souza;678.890.123-45;O+;40;50;1.072
Eduardo Rodrigues;782.901.234-56;A+;39;49;1.071
Luiz Costa;890.123.456-37;B+;41;51;1.073
Mariana Lima;901.123.456-78;AB+;42;50;1.072
Enzo Carvalho;123.456.789-40;O-;39;49;1.07
Sophia Gomes;253.456.789-01;A-;40;50;1.073
Rafael Santos;345.678.901-72;B-;40;49;1.071
Beatriz Silva;458.678.901-23;AB-;42;51;1.074
João Silva;123.456.789-06;O-;45;50;1.09
Maria Santos;987.654.321-34;O-;38;40;1.078
Pedro Oliveira;456.789.123-98;A+;41;52;1.034
Ana Souza;789.123.456-60;B+;40;52;1.045
Lucas Rodrigues;321.654.887-10;O+;45;43;1.078
